agent_login,1VyaIRD5TVWKBhvkOw4ySw
agent_metrics,yFcNzKvXS2GbpqWPsA0o1Q
agent_metrics_v2,heZgJhYeQU69xRIBBrtdLQ
agent_pause,iIKHYMSlT9G1nh3lIKNdPg
agent_status2,pdZYy5pgQVWvgYfhAF1VnA
call_fail,Ij018qBbRx2w5O3_kjjw4w
call_service,A2bMHMgSTjqQDSjCfcXuGA
call_status,GqoRrkBNSxa6fpMAeB28NQ
calls_by_session,MZurqeUXSeyRYQyZj87Gkg
calls_to_supervisao_by_session,piAIIsEARv6y0dh5fsSqjg
cdr,_7aA-NwYTpWeZ8LIfWMjgg
cel,1qrilZWOR1aYxAeFRVAuVg
foradeservico,UOoZZ9mrRs2KxoJQ5FmgWA
index_ativo,pTP-dtL2QkmOq4bj-6Ut5Q
latest_agent_status,hpLh-a75QyO5qqBW4kC1Dg
latest_call_status,BlpgQRZiRXin8D1zY1qBYQ
queue_log,eIdRguYqSFyMV61uUk_CbA
transbordo,Q-lPM8y8QA6g1lLkreK0dw
ura_events,Ev6PE5IPROSiQRlIjgfzEQ
